Unicode,KcK50l,KcK50d,KcK100l,KcK100d,ScS50d,ScS50d,KcaK50l,KcaK50d,KcaK100l,KcaK100d,ScaS50d,ScaS50d
0x30B2,0.9024,0.4357541899,0.9299,0.2641509434,0.9088,0.5480769231,0.9244,0.1675977654,0.9383,0.07924528302,0.9372,0.1826923077
0x3064,0.9384,0.5319148936,0.9483,0.2718446602,0.9096,0.09333333333,0.9508,0.3120567376,0.9554,0.1237864078,0.9444,0.05333333333
0x30C9,0.9196,0.375,0.9342,0.09090909091,0.9576,1,0.932,0.06617647059,0.9463,0.03282828283,0.9708,0.5277777778
0x30D9,0.918,0.3538461538,0.9375,0.1292875989,0.9256,0.4366197183,0.926,0.007692307692,0.9517,0.02638522427,0.9592,0.1549295775
0x30A7,0.9284,0.4444444444,0.9548,0.2492836676,0.9232,0.05194805195,0.9536,0.2478632479,0.9655,0.1805157593,0.9448,0.1818181818
0x0062,0.914,0.4790697674,0.9392,0.3594040968,0.9528,0.7878787879,0.9332,0.3720930233,0.9449,0.1527001862,0.96,0.4545454545
0x30F7,0.896,0.4,0.9204,0.1696113074,0.896,0.34,0.898,0.05853658537,0.9286,0.04770318021,0.9396,0.22
0x30CA,0.9396,0.5736434109,0.9534,0.3638392857,0.9592,1,0.944,0.2403100775,0.9506,0.1205357143,0.9592,0.5128205128
0x3056,0.9116,0.5760869565,0.9317,0.3485617597,0.8712,0.4153846154,0.9244,0.2065217391,0.9333,0.09306260575,0.9228,0.1692307692
0x004D,0.8976,0.6241610738,0.8946,0.2836801752,0.9048,0.7058823529,0.9172,0.3825503356,0.9044,0.1248630887,0.9216,0.3006535948
0x30DA,0.9088,0.3422818792,0.9284,0.1051401869,0.9308,0.4942528736,0.9192,0.006711409396,0.9453,0.03738317757,0.9548,0.2183908046
0x30E5,0.9564,0.6293103448,0.9692,0.4523809524,0.9308,0.2222222222,0.9572,0.275862069,0.9638,0.1398809524,0.944,0.1388888889
0x0050,0.9256,0.5033112583,0.9557,0.48,0.944,0.6120689655,0.9324,0.2185430464,0.9519,0.2347826087,0.9364,0.1724137931
0x304B,0.9332,0.6751269036,0.9471,0.4569892473,0.936,0.8558558559,0.9228,0.2284263959,0.9428,0.1612903226,0.9584,0.4504504505
0x30B5,0.9376,0.6705202312,0.9582,0.5089285714,0.9488,1,0.9424,0.3815028902,0.9515,0.2375,0.936,0.476635514
0x3085,0.94,0.7535545024,0.9483,0.507154213,0.8708,0.2971014493,0.9332,0.2796208531,0.9443,0.2209856916,0.9172,0.1594202899
0x3078,0.9448,0.5145631068,0.9602,0.2666666667,0.9284,0,0.9452,0.09708737864,0.9651,0.09,0.9588,0
0x0045,0.9372,0.6557377049,0.9194,0.1851851852,0.9312,0.1481481481,0.954,0.4754098361,0.949,0.3096296296,0.9388,0.0987654321
0x30D0,0.9304,0.5213675214,0.9492,0.3,0.9508,0.9402985075,0.9468,0.1538461538,0.9617,0.1277777778,0.958,0.1044776119
0x3090,0.9032,0.6267605634,0.9109,0.3705463183,0.9084,0.7757575758,0.8928,0.2429577465,0.917,0.1805225653,0.9196,0.303030303
0x0035,0.914,0.4416243655,0.9303,0.2610015175,0.9316,0.4823529412,0.9096,0.1319796954,0.9354,0.1380880121,0.9496,0.1529411765
0x30C0,0.9188,0.6262135922,0.9343,0.4750402576,0.9,0.5983606557,0.926,0.2475728155,0.9398,0.1787439614,0.9432,0.3278688525
0x30BD,0.9756,0.8224299065,0.9731,0.5014925373,0.9456,0.5762711864,0.9724,0.3831775701,0.972,0.2268656716,0.9668,0.186440678
0x308D,0.9004,0.5706806283,0.9271,0.3600682594,0.926,0.8130841121,0.9412,0.3246073298,0.9386,0.1433447099,0.9472,0.3177570093
0x3043,0.9664,0.7037037037,0.9744,0.4323308271,0.9352,0.2950819672,0.9728,0.2839506173,0.9752,0.1766917293,0.9656,0.1475409836
0x30ED,0.948,0.6607142857,0.9214,0.1366120219,0.91,0.4259259259,0.9292,0.2202380952,0.938,0.1074681239,0.9324,0.1851851852
0x005A,0.9508,0.7516339869,0.9623,0.5048543689,0.958,0.6020408163,0.9336,0.2679738562,0.9411,0.1569579288,0.9424,0.1224489796
0x0077,0.9,0.443438914,0.9017,0.1289398281,0.9064,0.24,0.8904,0.09502262443,0.9177,0.04011461318,0.9252,0.02
0x306E,0.9364,0.7280701754,0.9475,0.4971988796,0.8916,0.5038167939,0.9204,0.2719298246,0.9335,0.1960784314,0.9184,0.1755725191
0x3071,0.8696,0.5099337748,0.8921,0.2744360902,0.8604,0.5117647059,0.8888,0.2185430464,0.9196,0.179197995,0.9036,0.2823529412
0x006C,0.9976,1,0.9875,0.9109589041,0.9792,0.9487179487,0.9712,0.4444444444,0.9838,0.4452054795,0.9756,0.1538461538
0x30AF,0.9452,0.6405228758,0.9528,0.4091954023,0.9544,0.9166666667,0.9492,0.3137254902,0.9568,0.1885057471,0.9696,0.5119047619
0x0059,0.9764,0.8550724638,0.9722,0.5474452555,0.9648,0.953125,0.972,0.5072463768,0.9672,0.2481751825,0.9724,0.515625
0x30EA,0.9464,0.5426356589,0.9571,0.2610169492,0.9596,1,0.9524,0.2403100775,0.9618,0.06101694915,0.9764,0.6507936508
0x3046,0.9228,0.375,0.944,0.216080402,0.9648,0.9577464789,0.9388,0.1,0.9534,0.09296482412,0.978,0.5070422535
0x30BA,0.8956,0.4365482234,0.9266,0.2818336163,0.8952,0.5092592593,0.9156,0.1573604061,0.9343,0.09847198642,0.942,0.2777777778
0x308A,0.8992,0.2481751825,0.9356,0.1181318681,0.9516,0.925,0.9236,0.1094890511,0.9535,0.06043956044,0.9744,0.5
0x3068,0.9116,0.3716216216,0.936,0.2136929461,0.9548,0.9382716049,0.9304,0.1418918919,0.9457,0.09543568465,0.9632,0.3456790123
0x0030,0.9332,0.5858585859,0.939,0.3485086342,0.9444,0.7738095238,0.9248,0.2676767677,0.9373,0.1538461538,0.9532,0.2976190476
0x3095,0.916,0.4510869565,0.9237,0.1351351351,0.9048,0.3333333333,0.9284,0.1847826087,0.9418,0.08108108108,0.952,0.2903225806
0x30C5,0.932,0.6137931034,0.9423,0.2904761905,0.9152,0.5205479452,0.9452,0.2206896552,0.9572,0.1357142857,0.9604,0.2054794521
0x305B,0.8944,0.4766839378,0.9151,0.2057761733,0.9396,0.9921259843,0.9116,0.2279792746,0.9281,0.05415162455,0.9388,0.3464566929
0x30D5,0.936,0.5447761194,0.9508,0.2840095465,0.932,0.2837837838,0.9468,0.223880597,0.9523,0.09546539379,0.944,0.04054054054
0x30AC,0.924,0.6933962264,0.9392,0.4461778471,0.9088,0.6838235294,0.9192,0.25,0.9427,0.2215288612,0.92,0.1911764706
0x30E9,0.9376,0.5889570552,0.9493,0.3656565657,0.9184,0.3522727273,0.9288,0.1717791411,0.9444,0.09696969697,0.932,0.1136363636
0x006F,0.9252,0.3774834437,0.9463,0.248434238,0.9212,0.1518987342,0.9304,0.1456953642,0.9514,0.1419624217,0.9476,0.06329113924
0x3089,0.8948,0.3353293413,0.9332,0.259047619,0.954,0.9772727273,0.9416,0.2694610778,0.9404,0.0819047619,0.958,0.3068181818
0x30B9,0.9424,0.6494252874,0.9557,0.4674556213,0.902,0.2666666667,0.9196,0.1034482759,0.9506,0.1735700197,0.9356,0.06666666667
0x3074,0.8696,0.6142857143,0.9124,0.3540372671,0.8964,0.7197452229,0.9008,0.2357142857,0.9155,0.1316770186,0.9388,0.4267515924
0x0072,0.938,0.1098901099,0.9676,0.2427184466,0.9708,0.4411764706,0.956,0.06593406593,0.9681,0.09708737864,0.9792,0.2647058824
0x307E,0.9092,0.6529680365,0.9237,0.3844011142,0.8928,0.6274509804,0.9248,0.3470319635,0.9271,0.1880222841,0.9468,0.6339869281
0x0067,0.8612,0.1821705426,0.8963,0.07542262679,0.8948,0.2096774194,0.8768,0.07751937984,0.9121,0.03771131339,0.9276,0.1209677419
0x30F2,0.9272,0.5628742515,0.9431,0.3326133909,0.9064,0.4038461538,0.9352,0.2574850299,0.9512,0.1684665227,0.924,0.1923076923
0x30A2,0.9312,0.5231788079,0.9442,0.2794457275,0.9236,0.4756097561,0.94,0.1986754967,0.955,0.1454965358,0.9484,0.1829268293
0x0049,0.9936,0.9444444444,0.9736,0.7020547945,0.976,1,0.9944,0.8055555556,0.9776,0.2328767123,0.9728,0.4696969697
0x0039,0.9436,0.6584158416,0.9508,0.4698412698,0.948,0.7717391304,0.9132,0.1683168317,0.9342,0.1126984127,0.9532,0.2717391304
0x3061,0.9,0.4917127072,0.9311,0.3344887348,0.9348,0.8482142857,0.922,0.226519337,0.9317,0.09185441941,0.956,0.4196428571
0x30B0,0.9172,0.5810055866,0.9401,0.3706563707,0.908,0.5603448276,0.9268,0.1899441341,0.9467,0.1621621622,0.9452,0.25
0x3080,0.8696,0.3612334802,0.8987,0.200538358,0.9072,0.6783216783,0.906,0.2070484581,0.9151,0.08075370121,0.9576,0.5314685315
0x30E0,0.966,0.8,0.948,0.3515283843,0.9556,0.8762886598,0.9464,0.2620689655,0.9532,0.1419213974,0.9448,0.1958762887
0x0055,0.9436,0.6901408451,0.922,0.1372180451,0.9596,0.975,0.9288,0.1549295775,0.937,0.06766917293,0.9596,0.3375
0x004A,0.9396,0.3879310345,0.9576,0.264,0.9748,0.9111111111,0.9496,0.1896551724,0.96,0.1173333333,0.9768,0.3111111111
0x30DD,0.9204,0.6637931034,0.912,0.4126984127,0.874,0.4888888889,0.9088,0.1896551724,0.9322,0.1717171717,0.914,0.3111111111
0x3053,0.928,0.3457943925,0.9487,0.1585760518,0.9296,0.1403508772,0.9508,0.1495327103,0.9638,0.1035598706,0.9596,0.0701754386
0x30CD,0.9204,0.595,0.9236,0.1882160393,0.9432,1,0.9212,0.22,0.9277,0.04746317512,0.9536,0.40625
0x3050,0.9108,0.2926829268,0.941,0.1592178771,0.9572,1,0.9384,0.08130081301,0.9546,0.05027932961,0.968,0.3428571429
0x004B,0.91,0.4848484848,0.9223,0.1634980989,0.93,0.6043956044,0.8908,0.1471861472,0.9372,0.09315589354,0.9608,0.4505494505
0x0078,0.9392,0.4802631579,0.9358,0.1128318584,0.9212,0.08333333333,0.9296,0.09868421053,0.9459,0.02433628319,0.9584,0.03333333333
0x30B3,0.9556,0.6277372263,0.9575,0.3536299766,0.9132,0.1904761905,0.9508,0.2919708029,0.9597,0.1850117096,0.936,0.1785714286
0x3083,0.9408,0.6296296296,0.9473,0.3736263736,0.8908,0.2,0.9376,0.1975308642,0.9528,0.1538461538,0.934,0.03157894737
0x30E3,0.9508,0.6774193548,0.9588,0.3901808786,0.9176,0.380952381,0.946,0.185483871,0.9584,0.1240310078,0.942,0.04761904762
0x0056,0.9628,0.75,0.9695,0.5483870968,0.962,0.9512195122,0.9544,0.3719512195,0.9583,0.2217741935,0.9756,0.5243902439
0x304D,0.9116,0.6424581006,0.9263,0.3065953654,0.9284,0.8175675676,0.912,0.1452513966,0.9358,0.1087344029,0.9424,0.4121621622
0x3062,0.8832,0.4976303318,0.9072,0.237804878,0.8908,0.5538461538,0.8952,0.09478672986,0.9187,0.0487804878,0.9408,0.3461538462
0x0064,0.9408,0.6378378378,0.9506,0.4190317195,0.9392,0.88,0.9456,0.4378378378,0.9503,0.245409015,0.95,0.31
0x30F1,0.8808,0.1612903226,0.9129,0.03307392996,0.9004,0.03157894737,0.9096,0.03870967742,0.9352,0.01556420233,0.9344,0.1789473684
0x307F,0.884,0.4590909091,0.907,0.2341954023,0.9228,0.8510638298,0.9092,0.2045454545,0.9261,0.1350574713,0.9372,0.3404255319
0x30A1,0.9312,0.3879310345,0.9472,0.164305949,0.9144,0.08955223881,0.9492,0.1465517241,0.9583,0.07365439093,0.9516,0.07462686567
0x0071,0.9316,0.4946808511,0.9557,0.4266666667,0.9116,0.1914893617,0.9328,0.2819148936,0.9565,0.2685714286,0.932,0.01063829787
0x306C,0.908,0.6757679181,0.9192,0.4720982143,0.9112,0.8984771574,0.9048,0.3276450512,0.9169,0.2087053571,0.9116,0.3299492386
0x3059,0.9088,0.515,0.9279,0.2770870337,0.934,0.8416666667,0.9196,0.215,0.9428,0.1776198934,0.9632,0.5583333333
0x3077,0.928,0.595959596,0.9358,0.3741496599,0.9388,0.9622641509,0.9216,0.1111111111,0.9335,0.07993197279,0.9448,0.2452830189
0x006E,0.9252,0.3310810811,0.95,0.1906005222,0.9496,0.4444444444,0.9472,0.25,0.958,0.1070496084,0.9624,0.2063492063
0x3096,0.9324,0.4967320261,0.9324,0.1529680365,0.9308,0.6097560976,0.9464,0.2745098039,0.9474,0.07305936073,0.956,0.2804878049
0x0033,0.9196,0.5,0.9376,0.3378378378,0.9516,0.7471264368,0.9144,0.152173913,0.9413,0.1486486486,0.948,0.1494252874
0x30C6,0.9372,0.6149068323,0.9478,0.3629032258,0.9228,0.5568181818,0.9192,0.1118012422,0.947,0.127016129,0.9208,0.1704545455
0x0043,0.9624,0.7894736842,0.966,0.5565862709,0.9604,0.9135802469,0.9432,0.3391812865,0.9581,0.2653061224,0.9596,0.3209876543
0x30D6,0.9208,0.4844720497,0.9376,0.2757936508,0.8972,0.1052631579,0.9312,0.1801242236,0.9437,0.09722222222,0.936,0.09473684211
0x305A,0.8992,0.5491071429,0.9252,0.3554868624,0.8832,0.4965034965,0.91,0.2276785714,0.9267,0.1112828439,0.9288,0.3426573427
0x3045,0.9328,0.34,0.9531,0.1798107256,0.9328,0.1929824561,0.9488,0.07,0.9602,0.04100946372,0.9612,0.0701754386
0x30A8,0.9232,0.4353741497,0.949,0.2969543147,0.91,0.2747252747,0.9212,0.1292517007,0.9614,0.2055837563,0.9268,0.02197802198
0x30EB,0.9348,0.5976331361,0.9444,0.3515151515,0.9532,1,0.9388,0.2781065089,0.9485,0.1474747475,0.9504,0.2555555556
0x30F8,0.8812,0.453815261,0.8939,0.1452513966,0.904,0.5170454545,0.8788,0.1124497992,0.9123,0.04329608939,0.9776,0.8352272727
0x30BB,0.9664,0.8563218391,0.9537,0.4888888889,0.9356,0.8421052632,0.9324,0.2471264368,0.9429,0.09696969697,0.9532,0.4298245614
0x308B,0.8836,0.5388127854,0.906,0.3099173554,0.9172,0.8421052632,0.9024,0.1598173516,0.9247,0.1487603306,0.9364,0.3157894737
0x3072,0.9264,0.656779661,0.9313,0.390461997,0.9128,0.7518796992,0.9196,0.2796610169,0.9318,0.1445603577,0.9372,0.3082706767
0x30AE,0.9224,0.6763285024,0.9326,0.3937984496,0.8992,0.6585365854,0.9216,0.2560386473,0.934,0.1488372093,0.9676,0.593495935
0x306F,0.8996,0.53515625,0.9135,0.3304473304,0.93,0.9127516779,0.9036,0.24609375,0.9271,0.1500721501,0.9312,0.3288590604
0x0074,0.9624,0.5367647059,0.9631,0.315625,0.954,0.2549019608,0.95,0.2647058824,0.9723,0.215625,0.956,0.1764705882
0x0068,0.9188,0.3597560976,0.937,0.1601830664,0.964,0.9090909091,0.948,0.4024390244,0.9503,0.1624713959,0.9716,0.5584415584
0x305D,0.9512,0.9090909091,0.9537,0.6137026239,0.922,0.9015151515,0.9356,0.3722943723,0.9475,0.2827988338,0.9388,0.2727272727
0x0046,0.9572,0.5408805031,0.978,0.6547945205,0.9424,0.4461538462,0.9328,0.251572327,0.9566,0.2109589041,0.9476,0.04615384615
0x30D3,0.8976,0.3225806452,0.9402,0.2777777778,0.9028,0.2448979592,0.9188,0.08387096774,0.9493,0.1066666667,0.936,0.1734693878
0x0036,0.9296,0.5862068966,0.9277,0.2610687023,0.9372,0.8965517241,0.9136,0.1921182266,0.9314,0.1129770992,0.9484,0.2068965517
0x3093,0.9068,0.5081081081,0.9307,0.3128205128,0.9396,0.8648648649,0.9224,0.1783783784,0.9401,0.1435897436,0.9572,0.3783783784
0x30C3,0.97,0.7865168539,0.9744,0.4807017544,0.9152,0,0.9748,0.3483146067,0.9773,0.2385964912,0.9592,0
0x304A,0.8864,0.5146443515,0.9084,0.3025,0.9216,0.9057971014,0.8876,0.1338912134,0.9091,0.1075,0.9548,0.5507246377
0x30E6,0.9168,0.3973509934,0.9416,0.2232346241,0.9068,0.2115384615,0.934,0.2251655629,0.9517,0.1230068337,0.9344,0.1057692308
0x0053,0.9344,0.6262135922,0.9345,0.3298507463,0.9564,0.9032258065,0.9152,0.2038834951,0.9379,0.1731343284,0.9556,0.3010752688
0x30B6,0.9132,0.6180904523,0.925,0.3255813953,0.9236,0.9159663866,0.9276,0.3266331658,0.9381,0.1968992248,0.9476,0.6386554622
0x3086,0.9224,0.7415730337,0.9232,0.4343434343,0.9156,0.9433962264,0.9088,0.2808988764,0.9232,0.1755050505,0.9384,0.4905660377
0x30CB,0.9308,0.3416666667,0.9584,0.2238267148,0.918,0,0.9404,0.1083333333,0.969,0.1516245487,0.9256,0
0x30DB,0.9428,0.7277777778,0.9497,0.4525043178,0.9124,0.641509434,0.9376,0.3055555556,0.9486,0.2124352332,0.9708,0.7830188679
0x3055,0.93,0.5534591195,0.9422,0.337944664,0.9244,0.7142857143,0.9352,0.2075471698,0.9431,0.08498023715,0.9484,0.3697478992
0x3049,0.9032,0.4784688995,0.9274,0.2940226171,0.8824,0.3577235772,0.9104,0.1244019139,0.9301,0.09208400646,0.9296,0.2520325203
0x30A4,0.9608,0.6554621849,0.961,0.3305555556,0.9664,1,0.9608,0.2857142857,0.9591,0.08611111111,0.9868,0.7142857143
0x307C,0.8208,0.3583061889,0.874,0.2258426966,0.8508,0.4787878788,0.8512,0.1074918567,0.8935,0.07752808989,0.9116,0.2727272727
0x0061,0.906,0.3453608247,0.9355,0.2251407129,0.922,0.2289156627,0.91,0.09278350515,0.9408,0.09380863039,0.9476,0.09638554217
0x30F4,0.9052,0.5104166667,0.9305,0.3409461664,0.8916,0.3577981651,0.9188,0.1666666667,0.9296,0.08646003263,0.9492,0.3302752294
0x3067,0.8708,0.2615384615,0.9039,0.06770833333,0.8852,0.3428571429,0.898,0.04102564103,0.9299,0.02951388889,0.9336,0.08571428571